authors,name,price,publisher,rating,tags
曹雪芹,红楼梦,￥0.10,公共版权,9.5,"古典文学,经典,小说,古典名著,中国,名著,儿童读物,清代"
顾漫,微微一笑很倾城,￥2.99,上海读客图书有限公司,9.7,"言情,网游,青春,爱情,大神,小说,晋江"
匪我思存,景年知几时,￥6.99,北京记忆坊文化信息咨询有限公司,8,"勇气,执著,告白,执子之手,承诺,言情,携手,佳期如梦,钟汉良,相许,感情,小说,千山暮雪,李小冉"
法医秦明,尸语者,￥6.99,中南博集天卷文化传媒有限公司,9.3,"小说,惊悚,犯罪,法医,悬疑推理,禁案,刺激,变态杀人,雷米,姜振宇,天涯,莲蓬,CSI,重口味,姬十三"
江雪落,幸好我们曾遇见,￥4.99,北京中作华文数字传媒股份有限公司,8.9,"言情,美好,都市言情,小说,爱情"
徐茂华,我做散户这十年：三万赚到千万,￥2.80,福建奇松信息技术发展有限公司,9.1,"炒股,新股民,投资理财,3千万,经管,牛市,股市,陷阱,全身而退,3万,熊市"
蜘蛛,罪全书,￥7.99,中南博集天卷文化传媒有限公司,8.8,"小说,犯罪,中国当代,悬疑,推理,文学"
金赛,男人来自火星，女人来自金星大全集,￥1.99,青豆云媒信息科技北京有限公司,7.2,"女人,两性关系,约会,两性情感,情感,性情,爱情,婚姻,男人,两性,两性交往,幸福,男女关系,相处,男人来自火,女人来自金,婚姻关系"
[法]安托万·德·圣埃克苏佩里,小王子,￥9.99,杭州果麦文化传媒有限公司,9.6,"童话,外国文学,经典名著,文学,很不错,经典,圣埃克苏佩"
江雪落,最深的爱，最好的你,￥3.99,爱悦读,8.6,"言情,言情小说,青春,爱情大过天,爱情,小说"
南无袈裟理科佛,苗疆蛊事2,￥6.00,广西师范大学出版社（上海）有限公司,9.8,"苗疆,古曼童,下蛊,巫师,茅山术,莲蓬鬼话,降头,鬼魂,恐怖惊悚,巫蛊,金蚕王,小说,起点,中国,当代,玄幻,长篇,道术,苗疆蛊事"
匪我思存,佳期如梦,￥6.99,北京记忆坊文化信息咨询有限公司,9.4,"言情,小说,青春,恋爱比天大,影视同期书,花火"
赤焰冷,微光迷失的尘夏,￥2.00,长沙大鱼文化传媒有限公司,9.1,"虐恋,报复,青梅竹马,绝望,青春,刻骨铭心,小说,爱情,言情,花火"
南无袈裟理科佛,苗疆蛊事1,￥6.00,广西师范大学出版社（上海）有限公司,9.4,"苗疆蛊事,奇幻,玄幻,网络小说,中国,道术,小说,灵异,长篇小说,当代"
匪我思存,佳期如梦之今生今世,￥6.99,北京记忆坊文化信息咨询有限公司,9,"都市文,锥心之恋,言情,极品男人,来不及说我,三角恋,深情,兄妹恋,虐恋,小说,千山暮雪"
乐小米,凉生，我们可不可以不忧伤,￥5.99,北京记忆坊文化信息咨询有限公司,9.3,"成长,言情,青春与动漫,恋爱比天大,疼痛,青春,青春文学,花火,小说"
晴空蓝兮,指尖欢颜,￥9.00,上海读客图书有限公司,8.8,
天下霸唱,鬼吹灯之抚仙毒蛊,￥24.99,北京新华先锋出版科技有限公司,8.5,"盗墓,小说,巫蛊,鬼吹灯,探险,悬疑"
月出云,天下第一嫁（合集）,￥12.00,北京博阅天下文化传播有限公司,9.8,"小说,穿越,爱情,文学,后宫,虐恋,嫡女"
Lydia,当我足够好，才会遇见你,￥12.00,中南博集天卷文化传媒有限公司,9.2,"励志,女性,好看,爱情,小说,梦想,北漂,情感,灰姑娘,奋斗"
,跟悟空学炒股1：入门与进阶,￥35.70,,8.5,
匪我思存,爱你是最好的时光,￥6.99,北京记忆坊文化信息咨询有限公司,8.2,"小说,言情,青春,爱情,虐恋情深"
李叔同,问佛·观心,￥5.60,天津华文天下图书有限公司,10,"佛法,弘一法师,社会科学,哲学,国学,哲学与宗教,宗教,佛学"
[美]阿西莫夫,银河帝国：基地,￥17.50,上海读客图书有限公司,9.5,"科幻,小说,外国文学,心理史学,基地系列,银河帝国,科幻小说,基地,三体,美国,读客,艾萨克,银河帝国系"
慕颜歌,你的善良必须有点锋芒,￥6.00,北京风行盛世文化传播有限公司,9.5,"励志,文学,生活,成长,职场"
灌木文化,中国画大师经典佳作赏析：宋代,￥39.21,人民邮电出版社,,
武志红,为何家会伤人,￥13.93,北京磨铁数盟信息技术有限公司,9.3,"治愈,心理学,家庭,心理,心灵成长,教育"
烽火戏诸侯,雪中悍刀行14,￥17.50,上海读客图书有限公司,,"小说,江湖,玄幻,武侠,血性,文学"
[英]肯·福莱特,肯福莱特经典：巨人的陨落,￥12.99,上海读客图书有限公司,9.3,"战争,爱情,励志,热血,帝国,王朝,家族,正义,刺杀,沙皇,殖民,百年孤独,冰与火之歌,追风筝的人,史记,全球通史,圣经,20世纪,悲惨世界,亚瑟王,基督山伯爵,德川家康"
管蕾;张玲玲;朱元波,Swift开发实战,￥41.40,人民邮电出版社,,"开发技术和,Swift,Apple"
[英]亚伦·卡尔,这书能让你戒烟,￥13.00,四川文轩在线电子商务有限公司,9.6,"生活,健身与保健,健康,保健"
雷米,心理罪之城市之光,￥9.99,北京华章同人文化传播有限公司,9.7,"心理罪,犯罪,心理学,犯罪心理学,悬疑,小说,推理"
常书欣,余罪：我的刑侦笔记,￥15.72,上海读客图书有限公司,9.3,
杨冰阳,聪明爱：别拿男人不当动物,￥11.99,中南博集天卷文化传媒有限公司,8.7,"女性,爱情,恋爱,情感,进化心理学,性,两性,安全,两性情感,男人,心理,生活"
常书欣,余罪：我的刑侦笔记2,￥18.66,上海读客图书有限公司,9.6,
周梅森,人民的名义,￥19.99,中文在线数字出版集团股份有限公司,9.3,"影视小说,官场小说,超级畅销"
常书欣,余罪：我的刑侦笔记5,￥20.62,上海读客图书有限公司,9.9,
余华,活着,￥10.99,天津中作华文文化传播有限公司,9.8,"小说,文学,名人"
蓝鲸部落,产品经理面试攻略,￥25.00,北京华章图文信息有限公司,9.8,"产品经理,互联网,攻略,求职,面试"
大卫·迪绍夫;约翰逊,元认知系列共3册（《元认知：改变大脑的顽固思维》、《心思大开：日常生活的神经科学》、《PHI：从脑到灵魂的旅行》）,￥48.00,北京华章图文信息有限公司,10,"心理学,思维"
麦九,我终于失去了你,￥4.00,长沙大鱼文化传媒有限公司,9.7,"言情,伤感,青春文学,校园文学,校园小说,言情小说"
桐华,散落星河的记忆1：迷失,￥13.99,天津博集新媒科技有限公司,9.6,
林笛儿,玫瑰之晨,￥4.99,北京风行盛世文化传播有限公司,9.7,
中国电影股份有限公司,建军大业,￥8.99,北京淘梦时光文化传媒有限公司,9.6,"历史,文学,传记"
锦竹,如若有你，一世欢喜,￥1.99,杭州创策科技有限公司,8.5,"小说,现代都市,青春,言情,总裁,深情,爱恋,情感"
荷马,奥德赛,￥14.99,上海译文出版社,,
桐华,长相思1,￥6.99,天津博集新媒科技有限公司,9.6,"小说,文学,言情"
